"id","V","A","D","stdV","stdA","stdD","N"
"captured_moments_7321_7380","3.6","3.4","3.0","0.49","0.49","0.0","5"
"captured_moments_7381_7526","3.0","3.6","2.8","0.63","0.49","0.4","5"
"captured_moments_7527_7552","2.6","2.6","2.4","0.49","0.8","0.49","5"
"captured_moments_7548_7552","2.67","3.0","3.67","0.47","0.82","0.47","3"
"captured_moments_755_897","2.2","2.6","2.6","0.4","0.49","0.49","5"
"captured_moments_7553_7566","4.4","4.2","3.6","0.49","0.4","0.49","5"
"captured_moments_7567_7627","3.2","3.0","3.0","0.4","0.0","0.0","5"
"captured_moments_7672_7973","2.6","2.6","2.4","0.49","0.8","0.8","5"
"captured_moments_7974_8009","3.0","2.8","2.8","0.0","0.4","0.4","5"
"captured_moments_8010_8099","2.8","3.6","3.2","0.4","0.49","0.4","5"
"captured_moments_8100_8184","3.0","3.0","3.5","0.0","0.0","0.5","2"
"captured_moments_8185_8287","3.2","3.0","3.0","0.4","0.0","0.0","5"
"captured_moments_8288_8406","2.6","2.8","3.0","0.49","0.4","0.0","5"
"captured_moments_8425_8428","3.0","3.0","4.33","0.0","0.0","0.47","3"
"captured_moments_8429_8685","3.0","3.0","3.0","0.0","0.0","0.0","5"
"captured_moments_86_102","3.2","3.2","3.2","0.4","0.4","0.4","5"
"captured_moments_8686_8743","2.5","3.0","3.0","0.5","0.0","0.0","2"
"captured_moments_8744_8828","3.2","3.0","3.0","0.4","0.63","0.0","5"
"captured_moments_8797_8828","3.2","3.0","3.2","0.4","0.0","0.4","5"
"captured_moments_8829_8859","2.6","3.0","3.0","0.49","0.0","0.63","5"
"captured_moments_8860_8945","2.4","3.4","2.4","0.49","0.49","0.49","5"
"captured_moments_8946_8952","3.0","3.25","3.0","0.0","0.43","0.0","4"
"captured_moments_8952_8953","3.0","3.0","3.0","0.0","0.0","0.0","5"
"captured_moments_8954_8970","3.0","3.0","3.0","0.0","0.0","0.63","5"
"captured_moments_8971_9075","2.8","3.2","3.0","0.4","0.4","0.0","5"
"captured_moments_898_1100","3.0","2.6","3.0","0.0","1.02","0.63","5"
"captured_moments_9076_9083","2.2","3.4","3.4","0.4","0.49","0.49","5"
"captured_moments_9084_9156","3.6","3.6","3.4","0.49","0.49","0.49","5"
"captured_moments_9157_9268","3.4","3.6","3.2","0.49","0.8","0.4","5"
"captured_moments_9269_9382","2.4","3.0","2.6","0.8","0.63","0.8","5"
"captured_moments_9383_9478","2.67","3.0","3.33","0.47","0.0","0.94","3"
"captured_moments_9497_9522","2.4","3.2","2.2","0.49","0.4","0.75","5"
"captured_moments_9523_9539","2.8","2.8","3.0","0.4","0.4","0.63","5"
"captured_moments_9540_9621","3.0","3.0","3.0","0.0","0.0","0.0","5"
"captured_moments_9622_9667","2.0","3.0","2.8","0.0","0.63","0.75","5"
"captured_moments_9668_9734","3.4","3.0","3.4","0.49","0.63","0.49","5"
"captured_moments_9735_9811","3.2","3.2","3.4","0.4","0.4","0.49","5"
"captured_moments_9830_9896","2.8","3.0","3.0","0.4","0.63","0.63","5"
"captured_moments_9897_9977","3.6","3.4","3.4","0.49","0.49","0.49","5"
"captured_moments_9978_10047","2.6","2.8","2.8","0.49","0.4","0.4","5"
"defenders5_1090_1102","3.0","3.0","3.2","0.0","0.0","0.4","5"
"defenders5_1143_1207","3.2","3.0","3.4","0.4","0.0","0.49","5"
"defenders5_1217_1382","2.6","3.2","3.2","0.49","0.4","0.4","5"
"defenders5_1392_1445","3.0","3.0","3.0","0.0","0.0","0.0","2"
"defenders5_144_195","3.0","2.8","2.8","0.0","0.4","0.4","5"
"defenders5_1465_1619","3.0","3.0","3.0","0.0","0.0","0.0","5"
"defenders5_1620_1655","2.2","3.0","2.6","0.4","0.63","0.8","5"
"defenders5_1656_2016","2.8","3.2","3.2","0.4","0.4","0.4","5"
"defenders5_1840_1883","3.0","3.0","3.0","0.0","0.0","0.0","2"
"defenders5_2026_2143","2.0","3.2","2.6","0.89","0.4","0.8","5"
"defenders5_205_244","3.2","3.8","3.4","0.4","0.4","0.49","5"
"defenders5_2153_2232","3.0","3.0","3.0","0.0","0.0","0.0","2"
"defenders5_2233_2342","2.5","3.5","2.5","0.5","0.5","0.5","2"
"defenders5_2343_2463","2.4","3.8","3.4","0.8","0.75","0.49","5"
"defenders5_2473_2623","2.2","3.6","2.8","0.98","0.49","0.98","5"
"defenders5_254_345","2.8","3.2","3.2","0.4","0.4","0.4","5"
"defenders5_2633_2819","1.75","3.5","2.75","0.83","0.5","0.83","4"
"defenders5_2648_2663","2.8","2.6","2.6","0.4","0.8","0.49","5"
"defenders5_2829_2926","2.6","3.4","2.8","0.49","0.49","0.4","5"
"defenders5_2936_3086","2.5","3.5","3.0","0.5","0.5","0.0","2"
"defenders5_3096_3269","2.8","2.8","3.2","0.4","0.4","0.4","5"
"defenders5_31_47","1.5","3.5","3.0","0.5","0.5","0.0","2"
"defenders5_3279_3417","2.0","3.5","3.0","0.71","0.5","0.71","4"
"defenders5_3401_3417","3.2","2.8","3.2","0.4","0.4","0.4","5"
"defenders5_3427_3495","2.0","3.8","3.8","0.63","0.4","0.4","5"
"defenders5_3431_3435","1.4","3.8","4.4","0.49","0.75","0.49","5"
"defenders5_3505_3652","3.0","3.0","3.33","0.0","0.0","0.47","3"
"defenders5_365_561","2.6","3.0","3.2","0.49","0.63","0.75","5"
"defenders5_3662_3742","3.2","4.0","3.2","0.4","0.89","0.4","5"
"defenders5_3752_3817","3.0","2.67","3.33","0.0","0.47","0.47","3"
"defenders5_3827_4014","2.6","3.4","3.4","0.49","0.49","0.49","5"
"defenders5_4024_4197","2.75","3.75","3.0","0.43","0.43","0.0","4"
"defenders5_4207_4318","2.0","4.0","2.8","0.0","0.0","0.98","5"
"defenders5_4319_4563","3.0","3.6","3.4","0.63","0.49","0.49","5"
"defenders5_4573_4669","2.67","2.67","3.67","0.47","0.47","0.47","3"
"defenders5_4679_4826","2.17","3.5","2.83","0.69","0.76","0.69","6"
"defenders5_4827_4961","2.4","3.2","2.4","0.49","0.75","0.8","5"
"defenders5_4971_5008","2.8","3.0","3.2","0.4","0.0","0.4","5"
"defenders5_5018_5185","3.0","3.0","3.0","0.0","0.0","0.0","5"
"defenders5_5195_5227","3.0","3.0","3.0","0.0","0.63","0.0","5"
"defenders5_5237_5459","3.0","2.75","3.25","0.0","0.43","0.43","4"
"defenders5_5469_5566","3.0","3.2","3.0","0.0","0.4","0.0","5"
"defenders5_5576_5683","2.8","2.8","2.8","0.4","0.75","0.4","5"
"defenders5_562_651","2.4","3.0","3.2","0.49","0.0","0.4","5"
"defenders5_5693_5794","3.0","3.0","3.0","0.0","0.0","0.0","5"
"defenders5_57_71","3.0","3.0","3.0","0.0","0.0","0.0","5"
"defenders5_5795_5873","3.0","2.8","3.4","0.0","0.4","0.49","5"
"defenders5_5883_5981","3.0","3.0","3.0","0.0","0.0","0.0","5"
"defenders5_5906_5924","3.0","3.0","3.0","0.0","0.0","0.0","5"
"defenders5_5991_6154","3.33","3.0","4.0","0.47","0.82","0.0","3"
"defenders5_616_651","3.0","3.0","3.0","0.0","0.0","0.0","2"
"defenders5_6164_6240","3.0","3.0","3.0","0.0","0.0","0.0","3"
"defenders5_6241_6316","2.2","3.2","2.6","0.4","0.4","0.49","5"
"defenders5_6326_6446","2.8","3.2","3.0","0.4","0.4","0.0","5"
"defenders5_6447_6598","2.8","3.2","3.4","0.4","0.4","0.49","5"
"defenders5_6608_6657","3.0","3.0","3.0","0.0","0.0","0.0","5"
"defenders5_661_695","3.4","3.6","3.2","0.8","0.49","0.4","5"
"defenders5_6658_6729","3.2","3.2","3.4","0.4","0.4","0.49","5"
"defenders5_6739_6798","3.2","3.4","3.2","0.4","0.8","0.75","5"
"defenders5_6808_6957","3.0","3.0","3.2","0.0","0.0","0.4","5"
"defenders5_6967_7049","3.2","3.4","3.4","0.4","0.8","0.49","5"
"defenders5_705_785","2.8","3.2","2.8","0.4","0.75","0.4","5"
"defenders5_7059_7131","3.0","3.6","3.2","0.0","0.8","0.98","5"
"defenders5_7141_7210","3.2","3.4","3.4","0.4","0.49","0.49","5"
"defenders5_7211_7304","3.0","3.2","3.2","0.0","0.4","0.4","5"
"defenders5_7314_7348","3.6","3.0","3.2","0.49","0.0","0.4","5"
"defenders5_7358_7416","3.0","3.0","3.2","0.0","0.0","0.4","5"
"defenders5_7426_7581","2.5","2.5","3.0","0.5","0.5","0.0","2"
"defenders5_7582_7758","3.0","2.8","2.8","0.0","0.4","0.4","5"
"defenders5_7759_7776","3.0","2.8","2.2","0.0","0.4","0.75","5"
"defenders5_81_143","3.0","2.8","3.2","0.0","0.4","0.4","5"
"defenders5_862_976","2.4","3.2","3.0","0.49","0.4","0.0","5"
"defenders5_986_1142","2.5","3.0","3.0","0.5","0.0","0.0","2"
"detroit_10031_10319","3.0","3.5","2.83","0.58","0.5","0.69","6"
"detroit_10079_10086","3.6","3.2","3.0","0.8","0.4","0.0","5"
"detroit_10320_10462","3.4","3.6","3.0","0.8","0.49","0.63","5"
"detroit_10463_10549","2.6","3.4","3.0","0.49","0.49","0.0","5"
"detroit_10550_10685","3.2","3.6","3.0","0.4","0.49","0.0","5"
"detroit_10689_10729","2.8","3.0","3.0","0.4","0.63","0.0","5"
"detroit_10731_10825","3.6","3.4","3.6","0.8","0.49","0.8","5"
"detroit_10826_10947","2.4","3.4","2.6","0.49","0.49","1.02","5"
"detroit_10948_11052","3.0","2.8","2.8","0.0","0.4","0.4","5"
"detroit_11010_11051","3.2","3.2","3.2","0.4","0.4","0.4","5"
"detroit_1102_1251","2.6","3.4","3.0","0.49","0.49","0.63","5"
"detroit_11053_11280","3.0","3.4","3.0","0.0","0.49","0.0","5"
"detroit_11281_11400","3.4","3.0","2.8","0.49","0.0","0.4","5"
"detroit_11401_11416","4.4","3.2","3.2","0.49","0.75","0.4","5"
"detroit_11417_11443","4.4","3.6","3.0","0.49","0.49","0.63","5"
"detroit_11447_11479","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_11481_11567","2.8","3.0","3.0","0.4","0.0","0.0","5"
"detroit_11568_11610","3.0","3.2","3.0","0.63","0.4","0.0","5"
"detroit_11611_11721","2.6","3.4","2.8","0.49","0.49","0.4","5"
"detroit_11722_11769","1.67","3.67","3.17","0.75","0.75","0.9","6"
"detroit_11770_11791","2.33","3.0","2.83","0.75","0.58","0.37","6"
"detroit_11792_11816","3.0","3.2","3.2","0.0","0.4","0.4","5"
"detroit_11817_11884","2.8","3.4","2.8","0.4","0.49","0.4","5"
"detroit_11885_11951","3.0","3.2","3.2","0.0","0.4","0.4","5"
"detroit_11952_11973","2.8","3.0","3.0","0.4","0.0","0.0","5"
"detroit_11974_11991","2.6","2.6","2.8","0.8","0.49","0.98","5"
"detroit_11992_12207","2.6","3.6","3.0","0.49","0.49","0.63","5"
"detroit_12015_12030","3.33","3.33","3.0","0.75","0.47","0.0","6"
"detroit_12208_12263","3.2","3.0","3.2","0.4","0.0","0.4","5"
"detroit_12264_12345","2.6","2.8","3.0","0.49","0.4","0.0","5"
"detroit_12346_12426","3.0","3.4","3.0","0.0","0.49","0.0","5"
"detroit_12427_12552","2.4","3.0","2.8","0.49","0.63","0.4","5"
"detroit_1252_1295","3.0","3.4","2.8","0.0","0.49","0.4","5"
"detroit_12553_12770","2.8","3.0","2.8","0.4","0.0","0.4","5"
"detroit_12596_12606","3.2","3.0","3.0","0.4","0.63","0.0","5"
"detroit_12732_12738","3.2","3.2","3.2","0.4","0.4","0.4","5"
"detroit_12771_12815","2.6","3.6","2.8","0.49","0.49","0.4","5"
"detroit_12816_12897","3.0","3.2","3.0","0.0","0.4","0.0","5"
"detroit_12898_12920","2.8","2.8","3.0","0.4","0.4","0.0","5"
"detroit_12913_12919","3.6","3.4","3.2","0.8","0.49","0.4","5"
"detroit_12921_13082","2.6","3.4","3.2","0.49","0.49","0.4","5"
"detroit_1296_1331","3.2","3.0","2.8","0.4","0.0","0.4","5"
"detroit_13083_13143","3.0","3.2","2.8","0.63","0.4","0.4","5"
"detroit_13121_13134","3.2","3.2","3.2","0.4","0.4","0.4","5"
"detroit_13144_13216","2.6","3.4","2.6","0.49","0.49","0.49","5"
"detroit_13206_13215","4.0","3.6","3.4","0.63","0.8","0.8","5"
"detroit_13217_13260","2.8","3.2","3.0","0.4","0.4","0.0","5"
"detroit_13261_13294","2.8","3.0","2.4","0.4","0.0","0.8","5"
"detroit_13295_13307","3.4","3.2","3.2","0.49","0.4","0.4","5"
"detroit_13308_13320","2.4","3.6","3.6","1.02","0.49","0.8","5"
"detroit_13321_13348","2.8","3.0","3.2","0.4","0.0","0.4","5"
"detroit_1333_1376","3.6","3.8","3.2","0.49","0.75","0.4","5"
"detroit_13349_13361","2.8","3.6","3.6","0.4","0.49","0.8","5"
"detroit_13362_13402","3.0","3.2","2.6","0.0","0.4","0.49","5"
"detroit_13374_13385","3.0","3.0","3.0","0.0","0.0","0.0","5"
"detroit_13403_13422","3.2","3.0","2.6","0.4","0.0","0.49","5"
"detroit_13423_13501","2.0","3.0","2.4","0.63","0.63","0.49","5"
"detroit_13502_13508","3.0","3.2","3.0","0.0","0.4","0.0","5"
"detroit_13509_13515","3.0","2.83","2.83","0.0","0.37","0.37","6"
"detroit_13516_13533","2.6","3.2","3.2","0.49","0.4","0.4","5"
"detroit_13534_13597","2.4","3.6","2.8","0.8","0.8","0.98","5"
"detroit_13598_13622","3.6","4.0","3.4","0.49","0.89","0.49","5"
"detroit_13623_13627","1.4","3.4","2.4","0.8","0.49","0.49","5"
"detroit_13631_13661","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_13663_13678","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_13679_13703","2.8","3.8","3.2","0.4","0.4","0.75","5"
"detroit_13704_13744","2.8","3.4","3.2","0.75","0.49","0.4","5"
"detroit_13745_13773","2.6","2.8","3.0","0.49","0.4","0.63","5"
"detroit_1377_1479","3.2","3.4","3.0","0.4","0.49","0.0","5"
"detroit_13774_13848","2.4","3.0","3.0","0.49","0.0","0.0","5"
"detroit_13849_13899","3.0","3.2","3.8","0.63","0.4","0.75","5"
"detroit_13903_13942","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_13944_13967","2.8","3.2","3.0","0.4","0.4","0.63","5"
"detroit_13968_13996","3.0","3.2","3.4","0.0","0.4","0.49","5"
"detroit_13997_14072","2.6","3.2","3.2","0.49","0.4","0.4","5"
"detroit_14073_14101","3.2","3.6","3.4","0.4","0.49","0.49","5"
"detroit_14102_14214","2.8","3.2","3.2","0.4","0.4","0.98","5"
"detroit_14215_14336","3.0","3.4","3.8","0.0","0.8","0.75","5"
"detroit_14337_14434","3.67","3.5","3.33","0.75","0.76","0.47","6"
"detroit_14394_14401","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_14435_14605","3.2","3.4","3.6","0.4","0.49","0.49","5"
"detroit_14609_14649","3.0","2.8","2.8","0.0","0.98","0.4","5"
"detroit_14651_14828","2.6","3.4","3.2","0.49","0.8","0.98","5"
"detroit_1480_1543","3.2","3.4","3.2","0.4","0.49","0.4","5"
"detroit_14829_14947","2.4","2.8","2.6","0.49","0.4","0.49","5"
"detroit_14948_15031","2.8","3.4","3.2","0.4","0.49","0.4","5"
"detroit_15032_15064","2.6","2.8","2.8","0.49","0.4","0.4","5"
"detroit_15065_15155","2.0","3.4","3.4","0.89","1.02","0.8","5"
"detroit_15156_15206","1.83","3.0","3.0","0.69","0.58","0.82","6"
"detroit_15207_15294","2.4","3.4","3.2","0.49","0.49","0.75","5"
"detroit_15295_15429","3.2","3.2","3.0","0.4","0.4","0.63","5"
"detroit_15430_15583","2.67","3.33","3.0","0.75","0.75","1.0","6"
"detroit_1544_1618","3.8","3.0","2.8","0.75","0.63","0.4","5"
"detroit_15584_15660","2.4","3.0","3.0","0.8","0.63","0.63","5"
"detroit_15661_15690","3.0","3.0","3.0","0.0","0.0","0.0","5"
"detroit_15691_15847","2.6","3.4","2.8","0.49","0.49","0.4","5"
"detroit_15848_15868","3.2","3.2","3.2","0.4","0.4","0.4","5"
"detroit_15869_15913","3.2","3.4","3.6","0.4","0.8","0.8","5"
"detroit_15917_15957","2.8","3.0","3.0","0.4","0.0","0.0","5"
"detroit_15959_16017","3.2","3.0","3.0","0.4","0.0","0.0","5"
"detroit_16018_16025","3.6","3.4","3.0","0.8","0.49","0.0","5"
"detroit_16029_16059","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_16061_16111","3.2","3.4","3.0","0.4","0.8","0.0","5"
"detroit_16115_16146","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_16148_16242","3.0","3.6","3.0","0.0","0.8","0.0","5"
"detroit_1619_1722","3.4","3.4","3.4","0.49","0.49","0.49","5"
"detroit_16243_16283","2.83","3.33","3.5","0.37","0.94","0.76","6"
"detroit_16286_16318","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_16320_16354","2.8","3.8","3.2","0.4","0.4","0.75","5"
"detroit_16358_16389","3.0","3.0","3.0","0.0","0.0","0.0","6"
"detroit_16391_16421","4.0","3.67","3.0","0.58","0.75","0.0","6"
"detroit_16422_16493","3.0","3.0","3.0","0.0","0.0","0.0","5"
"detroit_16494_16532","3.4","3.0","3.2","0.49","0.63","0.4","5"
"detroit_16533_16618","3.0","3.2","3.2","0.63","0.4","0.4","5"
"detroit_16619_16657","3.6","3.2","2.8","0.49","0.75","0.4","5"
"detroit_16658_16785","3.8","3.4","3.4","0.75","0.49","0.49","5"
"detroit_16714_16721","3.0","2.8","3.0","0.0","0.4","0.0","5"
"detroit_16723_16761","2.6","3.0","3.0","0.49","0.63","0.0","5"
"detroit_16786_16814","3.2","2.8","2.8","0.4","0.4","0.98","5"
"detroit_16815_16847","4.0","3.6","3.4","0.63","0.49","0.49","5"
"detroit_16848_16864","3.17","3.17","3.17","0.69","0.69","0.37","6"
"detroit_16865_16896","4.0","3.8","3.2","0.63","0.75","0.98","5"
"detroit_16897_16903","3.6","3.2","3.2","0.49","0.4","0.4","5"
"detroit_16907_16936","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_16938_17038","2.6","3.8","2.8","0.49","0.75","0.4","5"
"detroit_17039_17149","2.8","3.8","3.0","0.4","0.75","0.63","5"
"detroit_17150_17230","3.4","3.0","3.2","0.49","0.0","0.4","5"
"detroit_1723_1812","3.2","3.2","3.0","0.4","0.75","0.0","5"
"detroit_17231_17448","2.5","3.0","3.5","0.5","0.58","0.76","6"
"detroit_1813_1916","3.4","3.4","3.2","0.49","0.49","0.4","5"
"detroit_1917_2009","3.8","3.2","3.0","0.75","0.4","0.0","5"
"detroit_2010_2061","3.2","3.0","3.2","0.4","0.63","0.4","5"
"detroit_2062_2148","2.6","3.2","3.2","0.49","0.4","0.4","5"
"detroit_2149_2183","2.6","3.0","3.0","0.49","0.63","0.0","5"
"detroit_2184_2255","2.8","3.0","3.0","0.4","0.63","0.0","5"
"detroit_2256_2334","2.2","3.0","2.8","0.75","0.63","0.98","5"
"detroit_2335_2421","3.83","3.0","3.5","0.9","0.0","0.76","6"
"detroit_239_280","3.2","3.2","3.2","0.4","0.4","0.4","5"
"detroit_2422_2439","2.6","3.2","2.8","0.49","0.4","0.4","5"
"detroit_2440_2456","3.0","2.67","3.67","0.0","0.75","0.75","6"
"detroit_2458_2538","2.2","3.2","2.6","0.4","0.4","0.49","5"
"detroit_2539_2596","2.0","3.0","2.2","0.89","0.63","0.75","5"
"detroit_2597_2725","2.6","3.2","2.6","0.8","0.4","0.8","5"
"detroit_2726_2785","3.0","2.8","3.0","0.63","0.4","0.63","5"
"detroit_2786_2871","2.2","3.2","2.6","0.75","0.4","0.8","5"
"detroit_281_404","2.6","3.0","3.0","0.49","0.0","0.0","5"
"detroit_2873_2989","2.2","2.8","2.6","0.4","0.4","0.49","5"
"detroit_2990_3084","2.6","3.4","3.0","0.49","0.49","0.0","5"
"detroit_3085_3192","1.8","3.2","2.2","0.98","0.4","0.75","5"
"detroit_3193_3307","2.4","3.0","2.6","0.49","0.63","0.49","5"
"detroit_3308_3355","3.0","3.33","3.17","0.0","0.47","0.69","6"
"detroit_3356_3415","3.0","2.8","3.2","0.0","0.4","0.4","5"
"detroit_3416_3554","2.6","3.2","2.8","0.49","0.4","0.4","5"
"detroit_3555_3589","1.6","4.0","2.0","0.8","0.63","0.89","5"
"detroit_3591_3725","2.8","3.0","3.0","0.4","0.0","0.0","5"
"detroit_3726_3900","3.6","3.0","3.4","0.49","0.0","0.49","5"
"detroit_3902_3924","3.0","3.0","3.0","0.0","0.63","0.0","5"
"detroit_3925_3986","2.4","3.0","3.0","0.49","0.63","0.0","5"
"detroit_3928_3986","3.0","3.0","3.33","0.0","0.0","0.47","6"
"detroit_3987_4096","2.8","3.2","3.0","0.4","0.4","0.0","5"
"detroit_4_73","2.8","2.6","3.0","0.4","0.8","0.0","5"
"detroit_406_500","2.4","3.2","2.8","0.49","0.75","0.4","5"
"detroit_4098_4153","2.8","3.4","2.8","0.4","0.49","0.4","5"
"detroit_4154_4168","2.5","3.0","3.33","0.76","0.58","0.94","6"
"detroit_4169_4246","2.0","3.0","3.0","0.89","0.63","0.63","5"
"detroit_4247_4318","2.6","3.4","3.0","0.49","0.49","0.63","5"
"detroit_4319_4400","2.2","3.8","3.8","0.75","0.75","0.75","5"
"detroit_4401_4433","2.2","4.2","3.4","0.98","0.75","0.8","5"
"detroit_4434_4468","2.6","3.0","3.4","0.49","0.63","0.49","5"
"detroit_4469_4523","2.17","3.0","2.5","0.69","0.58","1.12","6"
"detroit_4524_4660","2.6","3.4","2.8","0.49","0.49","0.4","5"
"detroit_4661_4862","2.6","3.0","2.8","0.49","0.63","0.4","5"
"detroit_4863_4931","2.6","3.2","2.8","0.49","0.4","0.4","5"
"detroit_4932_4951","3.0","2.8","3.0","0.0","0.4","0.0","5"
"detroit_4953_5011","2.8","2.8","3.2","0.75","0.4","0.4","5"
"detroit_5012_5137","3.4","3.4","3.0","0.49","0.49","0.0","5"
"detroit_502_547","2.2","3.2","2.2","0.75","0.4","0.98","5"
"detroit_5138_5173","3.2","3.6","3.2","0.4","0.49","0.4","5"
"detroit_5174_5222","2.6","3.2","3.2","0.49","0.4","0.4","5"
"detroit_5223_5338","2.8","3.4","3.0","0.4","0.49","0.63","5"
"detroit_5339_5457","2.6","3.0","2.8","0.8","0.63","0.98","5"
"detroit_5460_5523","3.4","3.4","3.2","0.49","0.49","0.4","5"
"detroit_548_579","3.0","2.8","3.2","0.63","0.4","0.4","5"
"detroit_5524_5558","3.0","3.0","3.6","0.0","0.0","0.49","5"
"detroit_5560_5663","4.0","3.5","3.17","1.0","0.5","0.37","6"
"detroit_5664_5731","4.0","3.6","2.8","0.63","0.49","0.4","5"
"detroit_5741_5797","3.2","2.8","3.0","0.4","0.98","0.0","5"
"detroit_5800_5831","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_581_698","3.0","2.8","3.0","0.0","0.4","0.0","5"
"detroit_5833_5844","3.6","3.0","3.0","0.49","0.0","0.0","5"
"detroit_5845_5869","3.4","2.6","3.0","0.49","0.49","0.0","5"
"detroit_5870_5881","3.2","3.2","3.8","0.4","0.75","0.75","5"
"detroit_5885_5917","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_5920_6014","3.0","2.8","3.4","0.0","0.4","0.49","5"
"detroit_5963_5992","2.8","3.2","3.0","0.4","0.4","0.0","5"
"detroit_6015_6154","2.8","3.4","3.0","0.4","0.49","0.0","5"
"detroit_6155_6401","2.8","2.8","2.8","0.4","0.4","0.4","5"
"detroit_6402_6505","3.2","2.8","3.0","0.4","0.4","0.0","5"
"detroit_6506_6608","3.0","3.0","3.0","0.0","0.0","0.0","5"
"detroit_6609_6674","3.2","2.8","3.0","0.4","0.4","0.0","5"
"detroit_6675_6686","2.8","3.2","3.0","0.4","0.4","0.63","5"
"detroit_6688_6728","3.2","3.2","3.4","0.4","0.4","0.49","5"
"detroit_6729_6821","3.2","3.2","3.2","0.4","0.4","0.4","5"
"detroit_6822_6880","3.0","2.8","3.2","0.0","0.4","0.4","5"
"detroit_6881_6925","3.17","3.0","3.17","0.37","1.0","0.37","6"
"detroit_6926_6963","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_6964_7069","3.8","3.0","3.0","0.75","0.0","0.0","5"
"detroit_699_706","3.8","4.0","3.4","0.98","0.89","0.8","5"
"detroit_707_778","2.8","3.6","3.2","0.4","0.49","0.4","5"
"detroit_7070_7100","3.2","3.0","3.2","0.4","0.63","0.4","5"
"detroit_7101_7149","3.33","3.33","3.5","0.47","0.47","0.76","6"
"detroit_7150_7305","3.2","3.2","3.0","0.4","0.4","0.0","5"
"detroit_7306_7352","3.4","2.8","3.0","0.49","0.4","0.63","5"
"detroit_7353_7434","3.8","3.0","3.2","0.4","0.63","0.4","5"
"detroit_7435_7578","3.4","3.0","3.0","0.49","0.0","0.0","5"
"detroit_7579_7616","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_7617_7675","3.2","3.4","3.2","0.4","0.49","0.4","5"
"detroit_7676_7767","3.4","3.2","3.2","0.49","0.4","0.4","5"
"detroit_7768_7899","3.8","3.6","3.2","0.75","0.49","0.4","5"
"detroit_779_857","3.2","3.0","3.0","0.4","0.63","0.0","5"
"detroit_78_238","2.8","3.2","3.0","0.4","0.4","0.0","5"
"detroit_7900_7975","1.8","3.4","2.2","0.75","0.49","0.75","5"
"detroit_7976_8078","2.8","3.2","2.8","0.4","0.4","0.4","5"
"detroit_8079_8144","2.8","2.8","3.0","0.4","0.4","0.0","5"
"detroit_8145_8211","2.8","3.2","3.2","0.4","0.4","0.4","5"
"detroit_8212_8376","2.6","3.0","2.4","0.49","0.63","0.8","5"
"detroit_8377_8491","3.4","3.4","3.2","0.49","0.49","0.4","5"
"detroit_8495_8528","3.0","2.4","3.0","0.0","0.8","0.0","5"
"detroit_8530_8589","3.8","3.2","3.2","0.4","0.4","0.4","5"
"detroit_858_923","3.0","3.0","2.8","0.0","0.63","0.4","5"
"detroit_8590_8679","3.8","3.4","3.2","0.75","0.49","0.4","5"
"detroit_8680_8811","4.0","3.2","3.0","0.63","0.75","0.0","5"
"detroit_8812_8911","3.2","3.4","2.8","0.75","0.49","0.4","5"
"detroit_8912_8989","3.8","3.4","3.6","0.4","0.49","0.8","5"
"detroit_8990_9141","3.0","3.2","3.0","0.0","0.4","0.0","5"
"detroit_9145_9188","3.0","2.6","3.0","0.0","0.8","0.0","5"
"detroit_9190_9267","3.0","2.83","3.5","0.0","0.9","0.5","6"
"detroit_924_940","3.2","3.4","2.8","0.4","0.49","0.4","5"
"detroit_9268_9371","2.75","3.0","2.75","0.43","0.71","0.43","4"
"detroit_9372_9511","2.6","3.2","2.6","0.49","0.4","0.8","5"
"detroit_941_948","3.0","3.2","3.2","0.0","0.4","0.4","5"
"detroit_9467_9479","3.4","3.8","3.6","0.49","0.75","0.8","5"
"detroit_949_962","3.6","3.6","3.0","0.49","0.8","0.0","5"
"detroit_9512_9592","3.17","3.0","3.0","0.9","0.58","0.58","6"
"detroit_9593_9753","2.4","3.6","3.0","0.49","0.49","0.63","5"
"detroit_963_1101","3.4","3.2","3.0","0.8","0.75","0.63","5"
"detroit_9754_9836","2.6","3.0","3.2","0.49","0.63","0.4","5"
"detroit_9837_9953","3.0","2.8","3.0","0.0","0.4","0.0","5"
"detroit_9954_10030","2.8","3.2","3.2","0.4","0.4","0.98","5"
"easy_money_10023_10056","2.8","3.2","3.2","0.4","0.4","0.4","5"
"easy_money_10057_10099","2.6","3.0","3.0","0.49","0.0","0.63","5"
"easy_money_10100_10129","3.0","2.8","2.8","0.0","0.4","0.4","5"
